Player Name,Team,7M Goal,7M Shot,6M Goal,6M Shot,9M Goal,9M Shot,Wing Goal,Wing Shot,Pivot Goal,Pivot Shot,Fastbreak Goal,Fastbreak Shot
Foege Luis Plymford,TVB,0,0,0,0,0,0,0,0,0,0,0,0
Forsell Schefvert Olle,WET,0,0,44,67,33,65,0,1,2,3,5,8
Forstbauer Jan,HSV,0,0,33,57,46,106,0,0,0,0,2,3
Fraatz Yannick,BHC,0,0,0,0,1,1,14,25,0,0,2,2
Franke Marten,NLB,0,0,6,11,1,8,0,0,0,0,1,1
Fredriksen Magnus,WET,0,0,44,62,8,27,0,2,2,2,2,3
Freihofer Tim,BER,0,0,0,0,0,0,0,0,0,0,0,0
Fuchs Julian,MTM,2,4,0,0,0,0,3,7,0,0,1,2
Fugel Elias,HBW,0,0,0,0,0,0,1,2,0,0,3,3
Gebala Maciej,LEI,0,0,0,4,0,0,0,0,70,95,0,2
Geis Linus,TBV,0,0,0,0,0,0,0,0,0,0,0,0
Gempp Patrick,WET,0,0,0,0,0,0,0,0,0,0,0,0
Gensheimer Uwe,RNL,24,28,2,2,1,2,24,38,4,5,7,8
Gertges Jonas,HSV,0,0,0,0,0,0,1,1,0,0,0,0
Gislason Ymir Orn,RNL,0,0,1,2,0,1,0,0,8,11,1,2
Golla Johannes,SGF,0,0,4,9,0,1,0,0,97,121,12,15
Goller Axel,FAG,7,9,1,1,0,0,2,11,1,1,1,1
Gomes Andre,MTM,0,0,29,42,24,59,0,0,2,2,0,1
Gottfridsson Jim,SGF,1,2,58,76,48,79,0,0,1,1,2,2
Grebenc Jan,GWD,0,0,16,27,18,46,1,1,0,0,5,5
Greilich Nils,LEI,0,1,0,0,0,0,0,0,0,0,0,0
Gretarsson Oddur,HBW,7,8,0,1,0,1,2,2,0,0,1,1
Groetzki Patrick,RNL,2,3,6,7,1,1,67,95,2,2,18,22
Guardiola Villaplana Gedeon,TBV,0,0,3,9,1,4,0,0,34,51,13,20
Guardiola Villaplana Isaias,TBV,0,0,19,29,10,27,0,0,1,2,6,7
Gullerud Magnus,SCM,0,0,2,4,0,1,0,0,52,64,6,6
Gulliksen Kevin Maageroe,FAG,15,17,9,14,0,2,50,81,2,5,38,45
Gunnarsson Arnor Thor,BHC,10,20,7,8,2,3,43,60,4,5,18,20
Gunther Ole,GWD,0,0,0,0,0,0,0,0,0,0,0,0
Gutbrod Fabian,BHC,0,0,4,8,33,65,0,0,0,0,0,0
Hacker Franz,LEI,0,0,0,0,0,0,0,0,0,0,0,0
Hafner Kai,MTM,0,0,76,114,43,108,2,6,2,2,2,3
Hafner Max,TVB,0,0,10,13,5,19,0,0,0,0,1,1
Hald Jensen Simon,SGF,0,0,1,2,1,2,0,0,29,33,2,3
Hanemann Hendrik,LEI,0,0,0,1,0,0,0,0,4,4,0,0
Hanne Martin,HAN,0,0,12,23,8,24,0,0,0,0,0,0
Hansen Hark,TBV,0,0,0,0,0,0,0,0,0,0,0,0
Hansen Johan a Plogv,HAN,48,70,10,17,0,0,61,106,2,3,17,20
Hansson Emil,BHC,0,0,2,2,0,0,10,19,0,0,3,3
Hanusz Egon,TVB,0,2,54,71,13,19,1,1,9,10,13,14
Hasenkamp Fynn Jarik,SGF,0,0,0,1,2,2,0,0,0,0,0,0
Heinis Robin,BER,0,0,0,0,0,0,0,0,1,1,0,0
Heiny Lutz,NLB,0,0,27,47,31,79,0,1,0,0,0,1
Heinzelmann Tobias,HBW,0,0,1,3,0,2,3,5,41,55,13,15
Hejny Maximilian,FAG,0,0,0,0,1,1,0,0,0,0,0,0
Helander Benjamin,RNL,6,8,3,3,0,0,25,40,1,1,20,22
Helmersson Mikael,SGF,0,0,0,0,0,0,0,0,0,0,0,0
Hermann Till,FAG,0,0,4,5,2,2,19,30,2,4,16,20
Hermeling Fynn Lukas,GWD,0,0,0,0,0,0,0,0,0,0,0,0
Herz Christian,TBV,0,0,0,0,0,0,0,0,0,0,0,0
Heymann Sebastian,FAG,0,0,55,78,27,57,2,2,1,2,8,8
Hildenbrand Tim,HBW,0,0,0,0,0,0,8,17,0,0,1,1
Holm Jacob Tandrup,BER,0,0,93,128,25,64,0,0,0,2,3,3
Holpert Magnus,GWD,0,0,0,0,0,0,0,0,0,0,0,0
Holst Maximilian,WET,88,102,3,4,0,0,4,8,1,2,1,1
Holzhacker Paul,GWD,0,0,0,0,0,0,1,2,0,0,0,0
Honicke Jonas,LEI,0,0,0,0,1,2,0,0,0,0,0,0
Horak Pavel,THW,0,0,0,1,1,2,0,0,9,11,0,0
Hornke Tim,SCM,8,11,3,4,0,1,35,56,0,0,22,25
Horr Manuel,MTM,0,0,2,2,0,0,0,0,0,0,1,1
Horzen Kristjan,RNL,0,0,3,3,0,0,0,1,29,42,1,3
Huber Elias,HBW,0,0,3,4,0,1,2,3,1,1,0,0
Hubke Torben,SGF,0,0,0,0,0,0,0,0,0,0,0,0
Hutecek Lukas,TBV,0,0,29,41,10,28,0,1,0,0,2,2
Ingason Daniel Thor,HBW,0,0,8,17,18,41,0,0,2,4,0,0
Ivic Sime,LEI,27,33,35,53,32,88,0,1,6,6,11,13
Jacobs Jann Keno,BER,0,0,0,0,0,0,0,0,1,1,0,0
Jaeger Max,HCE,0,0,1,2,0,0,8,12,1,2,4,4
Jakobsen Emil,SGF,26,33,2,3,1,2,37,55,2,2,7,8
Janke Maximilian,GWD,0,0,18,20,1,7,0,0,3,3,2,3
Jensen Magnus Saugstrup,SCM,0,0,8,11,0,1,0,0,67,84,11,11
Jeppsson Simon,HCE,22,31,26,42,113,204,1,1,1,3,8,9
Jonsson Elvar Orn,MTM,0,0,46,65,21,42,1,1,2,3,3,3
Jotic Lovro,LEI,0,0,26,43,19,48,0,0,0,1,0,0
Jukic Nikola,GWD,0,1,38,76,29,78,0,0,0,1,1,1
Juric Petar,HAN,0,0,0,0,0,0,0,0,0,0,1,1
Kalarash Gleb,HBW,0,0,0,0,0,0,0,0,0,0,0,1
Kalarash Gleb,MTM,0,0,1,3,0,0,0,0,20,27,5,5
Kastening Timo,MTM,23,35,2,4,1,1,41,66,2,3,11,15
Kaulitz Tim,FAG,0,0,0,0,0,0,0,0,0,0,0,0
Kellner Benedikt,HCE,0,0,0,0,0,0,0,0,0,0,0,0
Kessler Maximilian,RNL,0,0,0,0,0,0,1,2,0,0,0,0
Kirsten Evert Smits Kay,SCM,9,15,22,28,17,29,0,0,1,1,3,3
Kjaer Moller Lasse,SGF,1,2,0,0,0,0,0,0,0,0,0,0
Kleineidam Jan,HSV,0,0,14,22,4,11,0,0,0,0,1,1
Klimpke Ole,WET,0,0,2,5,3,4,0,0,0,0,1,1
Kneule Tim,FAG,0,0,38,61,26,56,0,0,1,1,0,0
Knorr Juri,RNL,12,14,34,59,24,69,0,0,1,1,3,3
Knuttel Niklas,NLB,0,0,0,0,0,0,0,0,0,0,0,0
Koch Johan,BER,0,0,1,3,0,0,0,0,16,21,4,7
Kogut Andrej,TBV,0,0,15,18,8,24,0,0,0,0,1,1
Kohlbacher Jannik,RNL,0,0,4,8,0,0,0,0,103,138,6,7
Kompenhans Paul,MTM,0,0,0,0,0,0,0,0,0,0,0,0
Kontrec Tin,NLB,0,0,2,3,0,1,0,1,27,39,5,5
Kopljar Marko,BER,0,0,6,11,6,14,0,0,3,3,7,9
Korte Mats,GWD,0,1,4,8,1,1,54,71,2,3,15,21
Kozina Kresimir,FAG,0,0,9,11,2,3,0,1,76,97,2,5
Kranzmann Florian,GWD,2,2,0,0,1,2,7,18,0,0,7,9
