Player Name;Team Position;Position;7M Save;6M Save;9M Save;Wing Save;Pivot Save;Fastbreak Save
Saeveraas Kristian Skinstad;LEI;GK;1;0;0;0;1;0
Vortmann Jens;HSV;GK;0;0;0;1;0;0
Mrkva Tomas;BHC;GK;0;2;1;0;1;1
Prost Primoz;TVB;GK;1;1;3;0;0;0
Rudeck Christopher;BHC;GK;1;1;1;0;0;0
Thulin Tobias;TVB;GK;0;0;1;1;1;0
Milosavljev Dejan;BER;GK;3;3;5;0;0;0
Lichtlein Carsten;GWD;GK;0;2;1;3;0;1
Genz Fredrik;BER;GK;0;0;0;0;0;0
Jensen Mike;SCM;GK;0;0;3;3;3;0
Ruminsky Mario;HBW;GK;0;1;0;3;0;0
Sejr Jensen Simon;HBW;GK;0;0;2;0;0;0
Green Krejberg Jannick;SCM;GK;0;1;0;0;0;0
Landin Jacobsen Niklas;THW;GK;1;1;6;1;1;1
Ferlin Klemen;HCE;GK;1;0;3;0;1;0
Ziemer Martin;HCE;GK;0;0;1;0;1;0
Quenstedt Dario;THW;GK;0;0;0;0;0;0
Rebmann Daniel;FAG;GK;0;6;0;0;2;0
Palicka Andreas;RNL;GK;0;2;2;0;2;0
Kastelic Urh;FAG;GK;0;0;0;0;0;1
Spath David;RNL;GK;0;0;0;0;0;0
Rezar Aljosa;NLB;GK;0;3;5;2;1;0
Heinevetter Silvio;MTM;GK;1;1;3;1;1;0
Simic Nebojsa;MTM;GK;0;0;3;1;0;0
Asheim Havard;NLB;GK;0;0;0;0;0;0
Klimpke Till;WET;GK;3;4;4;4;0;0
Lesjak Urban;HAN;GK;0;1;1;0;1;0
Ebner Domenico;HAN;GK;0;1;0;0;0;0
Suljakovic Anadin;WET;GK;0;0;0;0;0;0
Saeveraas Kristian Skinstad;LEI;GK;0;5;3;0;0;0
Green Krejberg Jannick;SCM;GK;0;2;2;2;0;0
Birlehm Joel;LEI;GK;4;0;0;0;0;0
Jensen Mike;SCM;GK;0;0;1;1;0;0
Johannesson Peter;TBV;GK;0;4;7;1;0;0
Sejr Jensen Simon;HBW;GK;2;1;1;1;0;0
Ruminsky Mario;HBW;GK;0;0;1;0;1;0
Zecher Finn;TBV;GK;0;0;0;0;0;0
Rebmann Daniel;FAG;GK;0;7;11;1;0;1
Mrkva Tomas;BHC;GK;1;2;1;2;1;0
Kastelic Urh;FAG;GK;1;0;0;0;0;0
Rudeck Christopher;BHC;GK;0;0;0;0;0;0
Bitter Johannes;HSV;GK;0;6;3;3;2;0
Klimpke Till;WET;GK;0;0;3;1;0;0
Suljakovic Anadin;WET;GK;0;1;2;0;1;0
Vortmann Jens;HSV;GK;0;0;0;0;0;0
Buric Benjamin;SGF;GK;0;1;8;1;2;0
Asheim Havard;NLB;GK;0;1;2;3;0;1
Rezar Aljosa;NLB;GK;0;0;1;0;1;0
Backhaus Theodor Felix;SGF;GK;0;0;1;0;1;0
Simic Nebojsa;MTM;GK;1;4;2;3;1;0
Ebner Domenico;HAN;GK;0;2;2;3;0;0
Heinevetter Silvio;MTM;GK;1;0;0;2;0;1
Lesjak Urban;HAN;GK;1;2;0;0;0;0
Landin Jacobsen Niklas;THW;GK;2;2;7;3;0;1
Lichtlein Carsten;GWD;GK;0;1;4;1;0;0
Grabitz Lucas;GWD;GK;0;0;1;0;0;0
Quenstedt Dario;THW;GK;0;0;0;0;0;0
Ziemer Martin;HCE;GK;1;1;1;0;1;0
Genz Fredrik;BER;GK;0;0;2;0;1;0
Ferlin Klemen;HCE;GK;0;1;2;0;0;0
Milosavljev Dejan;BER;GK;0;0;1;0;0;0
Palicka Andreas;RNL;GK;1;1;8;0;1;1
Thulin Tobias;TVB;GK;0;4;4;2;0;1
